water_body,unit,time,date,current_value,value_24h_ago,difference,mean_24h,max_24h,min_24h
Aa-Stegen-Wetzikon,l/s,16:00,28.02.2025,1'854,1'902,-48.0,896,1'902,67
Aabach-Käpfnach,l/s,16:00,28.02.2025,351,106,245.5,185,355,83
Aabach-Mönchaltorf,m3/s,16:05,28.02.2025,0.50,0.64,-0.138,0.51,0.63,0.46
Aabach-Niederuster,m3/s,16:10,28.02.2025,2.22,2.46,-0.232,1.48,3.07,0.42
Abistbach-Marthalen HW-RB,müM,16:10,28.02.2025,398.88,398.89,-0.001,398.89,398.90,398.88
Altbach-Bassersdorf,l/s,15:55,28.02.2025,154,162,-8.7,157,165,148
"Altbach Kloten, Schaffhauserstr.",m3/s,16:10,28.02.2025,0.16,0.19,-0.030,0.17,0.19,0.14
Chämtnerbach-Wetzikon,l/s,16:10,28.02.2025,224,262,-37.8,235,262,211
Chatzenb.-Turb.-Becken,müM,16:10,28.02.2025,566.36,566.38,-0.015,566.37,566.38,566.36
Chrattenweiher-Wetzikon,m,11:00,28.02.2025,1.60,1.61,-0.006,1.61,1.61,1.60
Dorfbach-Maur,l/s,16:00,28.02.2025,15,23,-7.4,17,22,15
Dorfbach-Meilen,l/s,16:10,28.02.2025,32,39,-7.0,33,41,32
Eulach-Räterschen,m3/s,16:10,28.02.2025,0.35,0.37,-0.024,0.36,0.38,0.34
Eulach-Winterthur,m3/s,16:10,28.02.2025,0.54,0.63,-0.084,0.57,0.64,0.54
Eulach-Wülflingen,m3/s,15:40,28.02.2025,0.54,0.65,-0.107,0.56,0.64,0.54
Fischbach-Niederglatt,müM,16:00,28.02.2025,409.26,409.30,-0.034,409.28,409.30,409.26
Furtbach Wüeri Buchs HW-RB,müM,16:10,28.02.2025,421.66,421.68,-0.017,421.65,421.68,421.63
Furtbach-Würenlos,l/s,16:10,28.02.2025,515,622,-107.1,525,615,456
Geisslibach-Furtmüli,l/s,12:00,28.02.2025,188,241,-53.0,197,241,177
Glatt-Dübendorf,m3/s,16:05,28.02.2025,3.53,3.74,-0.216,3.57,3.74,3.45
Glatt Oberglatt,müM,15:10,28.02.2025,413.08,413.15,-0.067,413.09,413.15,413.07
Glatt-Rheinsfelden (BAFU),m3/s,15:50,28.02.2025,6.27,7.34,-1.069,6.55,7.31,6.13
Glatt Rümlang,müM,16:10,28.02.2025,416.31,416.31,0.000,416.31,416.32,416.31
Glatt Schwerzenbach,müM,16:00,28.02.2025,434.74,434.75,-0.013,434.74,434.75,434.73
Glatt Wuhrbrücke,m3/s,11:55,28.02.2025,2.63,2.72,-0.095,2.69,2.76,2.62
Greifensee,müM,16:00,28.02.2025,435.09,435.09,-0.004,435.09,435.09,435.09
Haselbach-Bäckental HW-RB,müM,16:10,28.02.2025,412.99,413.00,-0.016,412.99,413.00,412.99
Haselbach-Maschwanden,l/s,16:10,28.02.2025,189,228,-39.5,200,224,185
Haselbach-Mettmenstetten,l/s,16:10,28.02.2025,64,64,0.0,58,75,51
Hüttnersee Hütten b. Auslauf,m,06:00,28.02.2025,1.94,1.94,-0.003,1.94,1.95,1.94
Jona-Pilgersteg,m3/s,16:10,28.02.2025,0.40,0.49,-0.093,0.41,0.50,0.38
Jona-Rüti,m3/s,16:00,28.02.2025,0.94,1.51,-0.579,1.04,1.51,0.91
Jonen-Affoltern a/A HW-RB,müM,16:10,28.02.2025,497.15,497.17,-0.016,497.16,497.18,497.15
Jonen-Zwillikon,m3/s,16:05,28.02.2025,0.30,0.32,-0.019,0.31,0.33,0.30
Katzensee,müM,12:00,28.02.2025,439.11,439.12,-0.003,439.11,439.12,439.11
Kempt-Fehraltorf,l/s,16:00,28.02.2025,297,329,-31.5,308,333,297
Kempt-Illnau,m3/s,16:00,28.02.2025,0.50,0.52,-0.015,0.50,0.68,0.46
Kempt-Winterthur,m3/s,16:00,28.02.2025,0.79,0.95,-0.156,0.85,1.03,0.79
Limmat-Unterhard,m3/s,15:50,28.02.2025,65.10,65.59,-0.496,65.35,66.09,64.90
Lützelsee,m,16:10,28.02.2025,2.12,2.12,0.002,2.12,2.13,2.12
Lützelsee-OW-Abfluss l/s,l/s,16:10,28.02.2025,8,10,-1.8,10,10,8
Lützelsee-TW-Abfluss l/s,l/s,16:00,28.02.2025,40,40,0.0,40,40,40
Mederbach-Marthalen,l/s,16:10,28.02.2025,206,216,-10.7,208,254,199
Mülibach-Esslingen HW-RB,müM,16:10,28.02.2025,461.44,461.46,-0.023,461.45,461.46,461.44
Mülibach-Rietmüli,l/s,16:00,28.02.2025,123,128,-5.4,123,134,121
Näfbach-Neftenbach,m3/s,16:00,28.02.2025,0.44,0.49,-0.046,0.46,0.51,0.39
Pfäffikersee,müM,16:00,28.02.2025,537.06,537.07,-0.014,537.07,537.08,537.06
Reppisch-Birmensdorf,m3/s,16:15,28.02.2025,0.22,0.25,-0.027,0.23,0.25,0.22
Reppisch-Dietikon,m3/s,16:00,28.02.2025,0.74,0.85,-0.117,0.75,0.85,0.69
Rhein Rüdlingen,müM,16:00,28.02.2025,343.61,343.62,-0.009,343.62,343.62,343.61
Riedbach-Hegmatten / HW-RB,müM,16:10,28.02.2025,454.73,454.74,-0.005,454.73,454.74,454.73
Schwarzbach Rickenbach Kellersgasse,m3/s,16:00,28.02.2025,0.13,0.14,-0.008,0.13,0.16,0.12
Schwarzbach-Rickenbach HW-RB,müM,16:10,28.02.2025,416.25,416.25,-0.005,416.25,416.26,416.25
Sihl-Blattwag,m3/s,16:10,28.02.2025,2.90,3.42,-0.520,3.00,3.42,2.73
Surb-Niederweningen,l/s,16:10,28.02.2025,182,194,-11.6,188,197,182
"Töss-Altlandenb.,Bauma",m3/s,16:10,28.02.2025,0.62,0.76,-0.131,0.67,0.77,0.61
Töss-Beicher,m3/s,16:00,28.02.2025,0.15,0.16,-0.004,0.15,0.17,0.14
Töss-Freienstein,m3/s,16:10,28.02.2025,6.41,7.41,-1.000,6.71,7.89,3.74
Töss-Hornsäge,m3/s,16:00,28.02.2025,1.80,2.11,-0.311,2.00,2.26,1.78
Töss-Rämismühle,m3/s,16:10,28.02.2025,1.71,1.93,-0.220,1.88,2.08,1.71
Töss-Wülflingen,m3/s,16:10,28.02.2025,3.78,4.46,-0.676,3.96,4.52,3.58
Türlersee,müM,08:00,28.02.2025,644.25,644.25,0.002,644.25,644.25,644.25
Türlersee Abfluss,l/s,12:00,28.02.2025,55,57,-2.0,56,58,54
"Wildbach-Grosswies, Wetzikon",müM,16:10,28.02.2025,533.03,533.05,-0.018,533.03,533.05,533.03
Wildbach-Wetzikon,m3/s,16:10,28.02.2025,0.27,0.38,-0.104,0.30,0.38,0.22
Zürichsee-Oberrieden,müM,16:00,28.02.2025,405.69,405.69,0.000,405.69,405.70,405.69
